지역,Pb,Cd,Cr,Cu,Mn,Fe,Ni,As,Al,Ca,Mg,대기오염도
서울 마포구,0.0087,0.0003,0.0025,0.0197,0.0311,0.8987,0.002,0.0019,0.5247,1.2065,0.308,17
서울 광진구,0.0079,0.0003,0.002,0.0173,0.0289,0.839,0.0016,0.0021,0.4618,1.1448,0.2789,20
서울 구로구,0.0085,0.0002,0.0023,0.0192,0.0314,0.9397,0.002,0.0019,0.5587,1.1427,0.3096,25
서울 송파구,0.0079,0.0002,0.0027,0.0192,0.0279,0.8728,0.0019,0.0019,0.4725,1.0868,0.2758,17
부산 학장동,0.015,0.0004,0.0199,0.0233,0.069,1.4145,0.0175,0.0025,0.5361,0.5399,0.3334,20
부산 연산동,0.0087,0.0003,0.002,0.0091,0.0169,0.5472,0.0012,0.0001,0.465,0.3977,0.2114,17
부산 부곡동,0.0081,0.0003,0.0018,0.0087,0.0245,0.5596,0.0008,0.0027,0.4393,0.5649,0.2295,17
부산 광안동,0.0107,0.0007,0.0017,0.009,0.0129,0.5622,0.0016,0.0011,0.4887,0.4406,0.2614,20
대구 수창동,0.0269,0.0004,0.0029,0.011,0.0205,0.5771,0.0005,0.0061,0.299,0.7436,0.1595,21
인천 신흥,0.0122,0.0004,0.0031,0.0132,0.0311,1.1298,0.0044,0.0034,0.9227,0.9838,0.3792,16
인천 구월동,0.0164,0.0005,0.0067,0.0257,0.0404,1.5499,0.0044,0.0047,1.2952,1.3321,0.4767,15
인천 부평,0.0137,0.0004,0.0042,0.0192,0.0363,1.3118,0.0036,0.0034,1.0367,1.2342,0.4139,16
인천 연희,0.0154,0.0004,0.0036,0.0243,0.0357,1.1766,0.0036,0.0039,0.5269,1.0162,0.3838,14
인천 고잔,0.0142,0.0005,0.0058,0.0224,0.0422,1.4252,0.0052,0.0032,1.0643,1.0916,0.4242,16
광주 농성동,0.0044,0.0003,0.001,0.0065,0.0098,0.1791,0.0004,0.0013,0.1069,0.214,0.1041,15
광주 두암동,0.0045,0.0004,0.0015,0.0074,0.011,0.2017,0.0006,0.002,0.1597,0.2732,0.1378,19
광주 건국동,0.0064,0.0004,0.0008,0.0051,0.0116,0.1776,0.0007,0.0032,0.1211,0.193,0.1069,19
광주 노대동,0.0064,0.0005,0.0034,0.0223,0.0305,0.2379,0.0024,0.0027,0.1967,0.3483,0.2094,18
광주 평동,0.01,0.0006,0.0047,0.0119,0.0332,0.4159,0.0021,0.0034,0.2662,0.3996,0.2003,22
대전 읍내동,0.0603,0.0005,0.0081,0.0343,0.0775,1.9325,0.0066,0.0032,0.8831,1.3982,0.5076,18
대전 문창동,0.0117,0.0004,0.0028,0.0109,0.0407,1.0807,0.0037,0.0022,0.8315,1.2878,0.4539,14
대전 구성동,0.0111,0.0004,0.0027,0.0126,0.0376,1.0036,0.0026,0.0024,0.8395,1.0731,0.4305,16
대전 정림동,0.0108,0.0005,0.0027,0.0099,0.0362,0.9398,0.0033,0.0021,0.7241,1.038,0.3982,15
울산 여천동,0.0679,0.0051,0.0034,0.0229,0.121,1.3505,0.0068,0.0129,0.9746,1.1876,1.0719,19
울산 야음동,0.0235,0.0013,0.005,0.0261,0.0513,1.4727,0.0031,0.0029,0.9007,0.8953,0.3849,18
울산 신정동,0.0196,0.001,0.0035,0.0154,0.059,1.4638,0.0037,0.0031,1.0797,1.0644,0.4654,19
울산 덕신리,0.0216,0.0007,0.0045,0.0294,0.0482,1.4516,0.0033,0.0025,0.8513,0.824,0.354,20
울산 전하동,0.1333,0.0086,0.0079,0.037,0.1398,3.3123,0.0157,0.0397,2.028,2.1229,1.2175,23
세종 아름동,0.0092,0.0003,0.0025,0.0057,0.0256,0.8297,0.0026,0.0021,0.8754,0.7196,0.2994,14
수원 신풍동,0.0082,0.0003,0.004,0.0164,0.0139,0.395,0.0021,0.0019,0.3051,0.2109,0.0845,17
안산 원시동,0.0199,0.0005,0.0091,0.0735,0.0219,0.5504,0.0063,0.0023,0.3356,0.4187,0.1055,14
원주 문막공단,0.0077,0.0001,0.002,0.0042,0.0848,0.8406,0.0015,0.0015,0.5694,0.5693,0.2899,15
청주 송정동,0.0049,0.0003,0.0009,0.0076,0.0139,0.3388,0.0086,0.0016,0.2192,0.4366,0.1274,20
전주 삼천동,0.0064,0.0002,0.0015,0.0061,0.014,0.2499,0.0011,0.0017,0.238,0.3959,0.1511,19
여수 여천동,0.0061,0.0002,0.0014,0.0049,0.0217,0.66,0.0024,0.0012,0.4008,0.433,0.2608,13
포항 장흥동,0.0265,0.0004,0.0414,0.0091,0.2374,1.4157,0.0224,0.0044,0.604,0.9551,0.4062,12
포항 장량동,0.0058,0.0001,0.0005,0.0046,0.0102,0.1378,0.0009,0.0016,0.0487,0.2129,0.1899,11
포항 3공단,0.0241,0.0005,0.0043,0.015,0.1115,0.8152,0.0035,0.0028,0.1548,0.6159,0.296,17
창원 명서동,0.0123,0.0003,0.0042,0.0098,0.0478,0.8677,0.0038,0.0031,0.4709,0.6775,0.2809,17
창원 봉암동,0.0093,0.0003,0.0103,0.0135,0.055,0.9707,0.0085,0.0028,0.4481,0.6541,0.2739,17
